 unique id,image,brand,category,collection,code,finishing,size,quantity,detail,currency in euro,retail price in euro,rate,currency,retail price,discount,nett price,location,status,arriving ETA,booking,booking expired,mix category
171,micro-sage green.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490G3,Sage Green,"Ø 7 x 27,5 cm",6,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,196,"19,000",Rp,"3,724,000",,,WH Barito,,,,,
172,micro-pink.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490P3,Pink,"Ø 7 x 27,5 cm",4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,196,"19,000",Rp,"3,724,000",,,WH Barito,,,,,
173,poldina micro-red.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490F3,Red,"Ø 7 x 27,5 cm",10,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,196,"19,000",Rp,"3,724,000",,,WH Barito,,,,,
174,poldina micro-capri blue.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490K3,Capri Blue,"Ø 7 x 27,5 cm",9,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,196,"19,000",Rp,"3,724,000",,,WH Barito,,,,,
175,micro-lilac.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490L3,Lilac,"Ø 7 x 27,5 cm",4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,196,"19,000",Rp,"3,724,000",,,WH Barito,,,,,
176,poldina micro-apple green.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490V3,Apple Green,"Ø 7 x 27,5 cm",11,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,196,"19,000",Rp,"3,724,000",,,WH Barito,,,,,
177,micro-orange.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490Z3,Orange,"Ø 7 x 27,5 cm",9,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,196,"19,000",Rp,"3,724,000",,,WH Barito,,,,,
178,micro-silver.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490C3,Glossy Chrome,"Ø 7 x 27,5 cm",3,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,268,"19,000",Rp,"5,092,000",,,WH Barito,,,,,
179,micro-gold.jpg,ZAFFERANO,Portable Lamps,Poldina Micro,LD0490O3,Glossy Gold,"Ø 7 x 27,5 cm",4,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
1,8W | 50-60Hz, 174-177-195lm | IP65 | 5Vdc max 1A",€,268,"19,000",Rp,"5,092,000",,,WH Barito,,,,,
180,poldina peanut-aviator.jpg,ZAFFERANO,Portable Lamps,Poldina x Peanuts Aviator ,LD0340FP1,Red,Ø 11 x 38 cm,3,"LED TOUCH DIMMER
100-240V | CRI>80, 2200-2700-3000K
2,2W | 50-60Hz, 234-251-256lm | 5Vdc max 1A",€,360,"19,000",Rp,"6,840,000",,,WH Barito,,,,,
